ticket_id,customer_id,issue_type,ticket_created,ticket_resolved,resolution_time_hours,sentiment,support_agent
b88e879e-d3c6-41ae-9aa3-140a5512936c,0c27206e-a220-474b-83fa-3017bae1a8c8,payment,2024-06-12T09:27:03,2024-06-19T07:27:03,166.0,neutral,Felicia Rodgers
036df0e5-42e2-47f8-be4f-9cab16b4174f,e7ba0466-bdf5-47dc-bd21-0a87d1bb7ffe,payment,2025-07-12T07:34:31,2025-07-16T07:34:31,96.0,neutral,Robert Ball
b6fcfc41-e045-4f79-8447-5a1464741d76,a2bd0e7f-a1a2-49a2-9b0f-32b06207f3ab,payment,2024-01-08T10:13:06,2024-01-12T12:13:06,98.0,neutral,Kathy Berry
2394323b-cea4-401f-b11e-206bb609d17f,ea0320ec-675d-42be-bcf8-ec2b2a71b14b,payment,2024-06-17T07:37:37,2024-06-25T12:37:37,197.0,positive,Julie Bishop
bc2183e9-c0c1-4d33-b738-ab3ec7ba4455,c79c0aa3-659e-4b0a-9b99-77a93e302bea,delay,2025-08-18T06:03:58,2025-08-18T19:03:58,13.0,negative,Margaret Morse
a13c7b80-fbf9-4001-b7cd-02100e743685,0a333a8a-18ac-4316-85c8-a70921d402d6,payment,2024-05-13T23:20:24,2024-05-22T07:20:24,200.0,positive,Matthew Mccann
e2e3c86f-be4c-47a5-a2f2-db7f1ea6419b,7dc9a42b-19dc-4611-b8be-ee14bcf4416d,payment,2024-11-04T01:32:32,2024-11-11T15:32:32,182.0,positive,Michael Morgan Dds
9eb45393-f253-46ab-b639-773036a9c8c7,c36f0cc1-99f7-40af-bc83-be049bbc1dc6,delay,2024-04-11T10:34:03,2024-04-15T05:34:03,91.0,negative,Margaret Morse
9738f598-bd3e-4461-9218-ca24b1065882,3c6859a2-8efa-4104-8b63-c6685c8768da,payment,2024-10-03T02:09:16,2024-10-08T22:09:16,140.0,positive,Judy Baarreraa
f50574b4-dbe8-4788-8c19-781898baf137,ab36441d-0fba-4384-b27a-d14775d350ab,refund,2025-04-12T05:34:22,2025-04-18T17:34:22,156.0,positive,Christie Thomas
